ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
R1122,9.6,0.5,0.36,2.8,0.116,26,55,0.99722,3.18,0.68,10.9,5,red
R1123,5.4,0.42,0.27,2,0.092,23,55,0.99471,3.78,0.64,12.3,7,red
R1124,9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11,7,red
R1125,7,0.54,0,2.1,0.079,39,55,0.9956,3.39,0.84,11.4,6,red
R1126,7.8,0.64,0,1.9,0.072,27,55,0.9962,3.31,0.63,11,5,red
R1127,8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5,red
R1128,7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6,red
R1129,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,red
R1130,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,red
R1131,6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,5,red
R1132,9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,6,red
R1133,10.7,0.52,0.38,2.6,0.066,29,56,0.99577,3.15,0.79,12.1,7,red
R1134,7.3,0.91,0.1,1.8,0.074,20,56,0.99672,3.35,0.56,9.2,5,red
R1135,6.2,0.43,0.22,1.8,0.078,21,56,0.99633,3.52,0.6,9.5,6,red
R1136,8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3,5,red
R1137,8.8,0.24,0.54,2.5,0.083,25,57,0.9983,3.39,0.54,9.2,5,red
R1138,8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3,6,red
R1139,8.2,0.34,0.38,2.5,0.08,12,57,0.9978,3.3,0.47,9,6,red
R1140,6.7,0.86,0.07,2,0.1,20,57,0.99598,3.6,0.74,11.7,6,red
R1141,7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5,red
R1142,7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5,red
R1143,7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,6,red
R1144,8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,6,red
R1145,7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,5,red
R1146,6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5,red
R1147,6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5,red
R1148,8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,5,red
R1149,6.4,0.865,0.03,3.2,0.071,27,58,0.995,3.61,0.49,12.7,6,red
R1150,8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,6,red
R1151,10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6,red
R1152,10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6,red
R1153,7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,6,red
R1154,7.5,0.4,0.18,1.6,0.079,24,58,0.9965,3.34,0.58,9.4,5,red
R1155,6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5,red
R1156,6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5,red
R1157,7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5,red
R1158,5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5,red
R1159,9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7,red
R1160,9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7,red
R1161,9.1,0.66,0.15,3.2,0.097,9,59,0.99976,3.28,0.54,9.6,5,red
R1162,8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12,6,red
R1163,6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,6,red
R1164,8,0.52,0.25,2,0.078,19,59,0.99612,3.3,0.48,10.2,5,red
R1165,7.9,0.29,0.49,2.2,0.096,21,59,0.99714,3.31,0.67,10.1,6,red
R1166,11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6,red
R1167,8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,6,red
R1168,8.3,0.42,0.38,2.5,0.094,24,60,0.9979,3.31,0.7,10.8,6,red
R1169,7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5,red
R1170,7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5,red
R1171,7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1,6,red
R1172,10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2,5,red
R1173,9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,5,red
R1174,7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,5,red
R1175,7.5,0.58,0.14,2.2,0.077,27,60,0.9963,3.28,0.59,9.8,5,red
R1176,7.5,0.59,0.22,1.8,0.082,43,60,0.99499,3.1,0.42,9.2,5,red
R1177,5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,6,red
R1178,8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,6,red
R1179,8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,6,red
R1180,7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,6,red
R1181,7.3,0.585,0.18,2.4,0.078,15,60,0.99638,3.31,0.54,9.8,5,red
R1182,7.2,0.39,0.32,1.8,0.065,34,60,0.99714,3.46,0.78,9.9,5,red
R1183,7.5,0.31,0.41,2.4,0.065,34,60,0.99492,3.34,0.85,11.4,6,red
R1184,6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6,red
R1185,8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,4,red
R1186,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,red
R1187,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,red
R1188,9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,5,red
R1189,9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,5,red
R1190,7.4,0.52,0.13,2.4,0.078,34,61,0.99528,3.43,0.59,10.8,6,red
R1191,6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,5,red
R1192,6.8,0.48,0.25,2,0.076,29,61,0.9953,3.34,0.6,10.4,5,red
R1193,9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,6,red
R1194,6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,6,red
R1195,8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,6,red
R1196,8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,5,red
R1197,8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2,6,red
R1198,10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6,red
R1199,10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6,red
R1200,8.6,0.49,0.51,2,0.422,16,62,0.9979,3.03,1.17,9,5,red
R1201,5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11,5,red
R1202,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,red
R1203,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,red
R1204,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,red
R1205,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,red
R1206,7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,5,red
R1207,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6,red
R1208,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6,red
R1209,7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,5,red
R1210,6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9,5,red
R1211,8.3,0.58,0.13,2.9,0.096,14,63,0.9984,3.17,0.62,9.1,6,red
R1212,6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,6,red
R1213,7,0.62,0.1,1.4,0.071,27,63,0.996,3.28,0.61,9.2,5,red
R1214,8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,4,red
R1215,6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5,red
R1216,12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,6,red
R1217,8.7,0.46,0.31,2.5,0.126,24,64,0.99746,3.1,0.74,9.6,5,red
R1218,6.8,0.57,0,2.5,0.072,32,64,0.99491,3.43,0.56,11.2,6,red
R1219,6.8,0.48,0.08,1.8,0.074,40,64,0.99529,3.12,0.49,9.6,5,red
R1220,7,0.745,0.12,1.8,0.114,15,64,0.99588,3.22,0.59,9.5,6,red
R1221,7.3,0.44,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7,6,red
R1222,9.1,0.76,0.68,1.7,0.414,18,64,0.99652,2.9,1.33,9.1,6,red
R1223,6.4,0.42,0.09,2.3,0.054,34,64,0.99724,3.41,0.68,10.4,6,red
R1224,7.8,0.82,0.29,4.3,0.083,21,64,0.99642,3.16,0.53,9.4,5,red
R1225,6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5,red
R1226,4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4,red
R1227,9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5,red
R1228,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,red
R1229,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,red
R1230,6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5,red
R1231,8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,5,red
R1232,10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,5,red
R1233,9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,5,red
R1234,10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,6,red
R1235,7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6,red
R1236,7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6,red
R1237,9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,5,red
R1238,7,0.36,0.21,2.3,0.086,20,65,0.99558,3.4,0.54,10.1,6,red
R1239,6.4,0.56,0.15,1.8,0.078,17,65,0.99294,3.33,0.6,10.5,6,red
R1240,6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.233333333,6,red
R1241,6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25,6,red
R1242,7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,5,red
R1243,7.6,0.54,0.13,2.5,0.097,24,66,0.99785,3.39,0.61,9.4,5,red
R1244,7.6,0.4,0.29,1.9,0.078,29,66,0.9971,3.45,0.59,9.5,6,red
R1245,10.8,0.47,0.43,2.1,0.171,27,66,0.9982,3.17,0.76,10.8,6,red
R1246,7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5,red
R1247,7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5,red
R1248,9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,5,red
R1249,8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2,5,red
R1250,8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2,5,red
R1251,7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5,red
R1252,8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5,red
R1253,7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,5,red
R1254,7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5,red
R1255,7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4,red
R1256,9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,7,red
R1257,7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,5,red
R1258,11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,7,red
R1259,9.1,0.25,0.34,2,0.071,45,67,0.99769,3.44,0.86,10.2,7,red
R1260,7.8,0.87,0.26,3.8,0.107,31,67,0.99668,3.26,0.46,9.2,5,red
R1261,7.3,0.43,0.24,2.5,0.078,27,67,0.99648,3.6,0.59,11.1,6,red
R1262,7.9,0.18,0.4,2.2,0.049,38,67,0.996,3.33,0.93,11.3,5,red
R1263,12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,6,red
R1264,9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5,red
R1265,9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5,red
R1266,8.6,0.33,0.4,2.6,0.083,16,68,0.99782,3.3,0.48,9.4,5,red
R1267,10.6,0.5,0.45,2.6,0.119,34,68,0.99708,3.23,0.72,10.9,6,red
R1268,7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5,red
R1269,7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5,red
R1270,7.2,0.34,0.21,2.5,0.075,41,68,0.99586,3.37,0.54,10.1,6,red
R1271,8,0.28,0.44,1.8,0.081,28,68,0.99501,3.36,0.66,11.2,5,red
R1272,7.6,0.79,0.21,2.3,0.087,21,68,0.9955,3.12,0.44,9.2,5,red
R1273,7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5,red
R1274,9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,4,red
R1275,12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,6,red
R1276,8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,6,red
R1277,8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,6,red
R1278,7,0.58,0.28,4.8,0.085,12,69,0.99633,3.32,0.7,11,6,red
R1279,8.7,0.63,0.28,2.7,0.096,17,69,0.99734,3.26,0.63,10.2,6,red
R1280,7,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,6,red
R1281,10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,5,red
R1282,7.3,0.52,0.32,2.1,0.07,51,70,0.99418,3.34,0.82,12.9,6,red
R1283,7.1,0.36,0.3,1.6,0.08,35,70,0.99693,3.44,0.5,9.4,5,red
R1284,7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,6,red
R1285,7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,6,red
R1286,10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,6,red
R1287,7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1,5,red
R1288,6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,6,red
R1289,7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5,red
R1290,9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5,red
R1291,9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5,red
R1292,9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5,red
R1293,9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5,red
R1294,15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,5,red
R1295,8.2,0.38,0.32,2.5,0.08,24,71,0.99624,3.27,0.85,11,6,red
R1296,7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,5,red
R1297,7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,5,red
R1298,7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2,5,red
R1299,12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,5,red
R1300,9.4,0.615,0.28,3.2,0.087,18,72,1.0001,3.31,0.53,9.7,5,red
R1301,7,0.45,0.34,2.7,0.082,16,72,0.998,3.55,0.6,9.5,5,red
R1302,8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,6,red
R1303,8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,6,red
R1304,7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5,red
R1305,7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5,red
R1306,7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6,red
R1307,7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5,red
R1308,8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,5,red
R1309,10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,6,red
R1310,9.4,0.24,0.33,2.3,0.061,52,73,0.99786,3.47,0.9,10.2,6,red
R1311,9,0.6,0.29,2,0.069,32,73,0.99654,3.34,0.57,10,5,red
R1312,6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,5,red
R1313,9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6,red
R1314,9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6,red
R1315,8.8,0.59,0.18,2.9,0.089,12,74,0.99738,3.14,0.54,9.4,5,red
R1316,10,0.26,0.54,1.9,0.083,42,74,0.99451,2.98,0.63,11.8,8,red
R1317,8.2,0.34,0.37,1.9,0.057,43,74,0.99408,3.23,0.81,12,6,red
R1318,8,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8,6,red
R1319,5.2,0.49,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2,6,red
R1320,7.6,0.43,0.31,2.1,0.069,13,74,0.9958,3.26,0.54,9.9,6,red
R1321,10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,5,red
R1322,9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5,red
R1323,9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5,red
R1324,8.4,0.67,0.19,2.2,0.093,11,75,0.99736,3.2,0.59,9.2,4,red
R1325,7.2,0.35,0.26,1.8,0.083,33,75,0.9968,3.4,0.58,9.5,6,red
R1326,10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7,red
R1327,10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7,red
R1328,9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,5,red
R1329,13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,5,red
R1330,7.1,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3,5,red
R1331,9.9,0.74,0.28,2.6,0.078,21,77,0.998,3.28,0.51,9.8,5,red
R1332,8.6,0.22,0.36,1.9,0.064,53,77,0.99604,3.47,0.87,11,7,red
R1333,8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,6,red
R1334,8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,6,red
R1335,7.7,0.26,0.26,2,0.052,19,77,0.9951,3.15,0.79,10.9,6,red
R1336,9.2,0.46,0.23,2.6,0.091,18,77,0.99922,3.15,0.51,9.4,5,red
R1337,6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,5,red
R1338,6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,5,red
R1339,9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,5,red
R1340,10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10,6,red
R1341,7.2,0.54,0.27,2.6,0.084,12,78,0.9964,3.39,0.71,11,5,red
R1342,5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,5,red
R1343,8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,6,red
R1344,8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,6,red
R1345,7.3,0.4,0.3,1.7,0.08,33,79,0.9969,3.41,0.65,9.5,6,red
R1346,7.9,0.57,0.31,2,0.079,10,79,0.99677,3.29,0.69,9.5,6,red
R1347,6.6,0.725,0.2,7.8,0.073,29,79,0.9977,3.29,0.54,9.2,5,red
R1348,6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5,red
R1349,8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6,red
R1350,11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,7,red
R1351,5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,6,red
R1352,8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6,red
R1353,8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,5,red
R1354,8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6,red
R1355,8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6,red
R1356,8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6,red
R1357,8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6,red
R1358,6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5,red
R1359,7.4,0.37,0.43,2.6,0.082,18,82,0.99708,3.33,0.68,9.7,6,red
R1360,9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5,red
R1361,9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5,red
R1362,6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,6,red
R1363,9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,5,red
R1364,7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,5,red
R1365,7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6,4,red
R1366,10.6,1.025,0.43,2.8,0.08,21,84,0.9985,3.06,0.57,10.1,5,red
R1367,7.2,0.62,0.06,2.5,0.078,17,84,0.99746,3.51,0.53,9.7,5,red
R1368,7.1,0.755,0.15,1.8,0.107,20,84,0.99593,3.19,0.5,9.5,5,red
R1369,8,0.39,0.3,1.9,0.074,32,84,0.99717,3.39,0.61,9,5,red
R1370,5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4,red
R1371,8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,5,red
R1372,7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,6,red
R1373,7.1,0.59,0.01,2.5,0.077,20,85,0.99746,3.55,0.59,9.8,5,red
R1374,7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5,red
R1375,7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5,red
R1376,8,0.81,0.25,3.4,0.076,34,85,0.99668,3.19,0.42,9.2,5,red
R1377,7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,5,red
R1378,7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,5,red
R1379,6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,6,red
R1380,7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,5,red
R1381,9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,6,red
R1382,10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,4,red
R1383,5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,7,red
R1384,7.2,0.635,0.07,2.6,0.077,16,86,0.99748,3.51,0.54,9.7,5,red
R1385,7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5,red
R1386,7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5,red
R1387,8.2,0.51,0.24,2,0.079,16,86,0.99764,3.34,0.64,9.5,6,red
R1388,8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,5,red
R1389,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,red
R1390,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,red
R1391,9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,5,red
R1392,8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,5,red
R1393,7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7,6,red
R1394,5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,8,red
R1395,7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5,red
R1396,5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,8,red
R1397,10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1,6,red
R1398,8.8,0.42,0.21,2.5,0.092,33,88,0.99823,3.19,0.52,9.2,5,red
R1399,5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5,6,red
R1400,7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5,red
R1401,7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5,red
R1402,7.2,0.63,0.03,2.2,0.08,17,88,0.99745,3.53,0.58,9.8,6,red
R1403,10,0.35,0.45,2.5,0.092,20,88,0.99918,3.15,0.43,9.4,5,red
R1404,8.5,0.18,0.51,1.75,0.071,45,88,0.99524,3.33,0.76,11.8,7,red
R1405,5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,7,red
R1406,7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5,red
R1407,7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5,red
R1408,9.7,0.66,0.34,2.6,0.094,12,88,0.99796,3.26,0.66,10.1,5,red
R1409,7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6,red
R1410,7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5,red
